id,ar,latin,tr,siga
9,لَا يَحْكُمُ,Layahkumu,Hükmetmeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَحْكُمَ,Lenyahkume,Asla hükmetmeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَحْكُمْ,Liyahkum,Hükmetsin,Emr-i gâib
12,لَا يَحْكُمْ,Layahkum,Hükmetmesin,Nehy-i gâib
13,اُحْكُمْ,Ühkum,Hükmet,Emr-i hâzır
14,لَا تَحْكُمْ,Latehküm,Hükmetme,Nehy-i hâzır
15,مَحْكَمٌ,Mahkemun,"Hükmetme zamanı,mekanı,hükmetmek","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِحْكَمٌ,Mihkemun,Hükmetme aleti,İsm-i âlet
17,حَكْمَةً,Hekmeten,Bir kere hükmetmek,Masdar binâ-i merra
18,حِكْمَةً,Hikmeten,Bir çeşit hükmetmek,Masdar binâ-i nevi
19,حُكَيْمٌ,Hükeymun,Hükmetmecik,İsm-i tasğîr
20,حُكْمِيٌّ,Hukmiyyun,Hükmetmeye mensub,İsm-i mensûb
21,حَكَّامٌ,Hakkamun,Çokca hükmeden,Mübâlağa-i ism-i fâil
22,أَحْكَمُ,Ahkamu,En iyi hükmeden,İsm-i tafdîl
23,مَا أَحْكَمَهُ,Maahkemehu,Acayip hükmetti,Fi’l-i taaccüb-i evvel
24,وَ أَحْكِمْ بِهِ,Veehkimbihi,Ne acayip hükmetti,Fi’l-i taaccüb-i sânî
1,نَزَلَ,NEZELE,İndi,Fi’l-i mâzî
2,يَنْزِلُ,Yenzilü,İniyor,Fi’l-i muzârî
3,نُزُولًا,Nüzulen,İnmek,Masdar-ı gayr-i mimî
4,نَازِلٌ,Nazilün,İnen,İsm-i fâil
5,مَنْزُولٌ,Menzülün,İnilen,İsm-i mef’ûl
6,لَمْ يَنْزِلْ,Lemyenzil,İnmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَنْزِلْ,Lemmayenzil,Henüz inmedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَنْزِلُ,Mayenzilü,İnmiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَنْزِلُ,Layenzilü,İnmez,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَنْزِلَ,Lenyenzile,Asla inmeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَنْزِلْ,Liyenzil,İnsin,Emr-i gâib
12,لَا يَنْزِلْ,Layenzil,İnmesin,Nehy-i gâib
13,اِنْزِلْ,İnzil,İn,Emr-i hâzır
14,لَا تَنْزِلْ,Latenzil,İnme,Nehy-i hâzır
15,مَنْزِلٌ,Menzilün,"İsmi zaman,ismi mekan,inmek","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِنْزَلٌ,Minzelün,İnme aleti,İsm-i âlet
17,نَزْلَةً,Nezleten,Bir kere inmek,Masdar binâ-i merra
18,نِزْلَةً,Nizleten,Bir çeşit inmek,Masdar binâ-i nevi
19,نُزَيْلٌ,Nüzeylün,İnmecik,İsm-i tasğîr
20,نَزْلِيٌّ,Nezliyyun,İnmeye mensub,İsm-i mensûb
21,نَزَّالٌ,Nezzalün,Çokça inen,Mübâlağa-i ism-i fâil
22,أَنْزَلُ,Enzelü,En iyi inen,İsm-i tafdîl
